# GenSrpG Phase 2 — inline global last owners
# sourceIndexBlob=6c95e3f6ca4bf8e34003776e7e43e44192aafb16
# scope=explicit window.<name> assignments in 119 active inline blocks
# distinctGlobals=436 assignments=760 multiOwnerGlobals=119
# name	assignmentCount	lastOwner
DUNGEON_FLOOR_THEMES_078	1	dungeonCore078FloorSets
DungeonCore01	2	dungeonCore200Rebuild
DungeonSpatial313	1	dungeonCore313SpatialModel
GENSRPG_BUILD	1	gensBuildMarker163
GENSRPG_DUNGEON_ASSET_ROOT_168	1	dungeonHeroItemAssets168Marker
__dc097NativeAmbush	1	gensDungeonCore01Js
__dc097NativeEndTurn	1	gensDungeonCore01Js
__dc097NativeEngageCombat	1	dc097CaptureNativeCombat
__dc200StableCloseCombat	1	dungeonCore200StableCapture
__dc200StableCombatVictoryHtml	4	dungeonCore212RenderVictory
__dc200StableRenderCombatRound	3	dungeonCore214SingleAuthority
__dc214RenderCombat	3	dungeonCore303TimelineRootFix
__dc302RenderCombat	2	dungeonCore303TimelineRootFix
_capRefresh134	1	captureFix134
_captureFxTimer	1	capturePlaytestFix128
_captureLastRoll	1	captureAbilityTruth144
_captureStarting139	3	captureFix139
_openGensBuiltInGame155	1	forceReload155
activeEnemyDefinition	2	dungeonArtRenderFix165
allowedHeroIdsForActiveProfile	1	coreCombatPoolFix156
applyBuiltinEnemyOverrides	2	dungeonGithubArts164
applyDungeonFloorTheme078	1	dungeonCore078FloorSets
applyDungeonMapPolish079	1	dungeonCore079MapPolish
applyGameProfile	1	gensStability151
availableParticipantHeroIds	1	coreCombatPoolFix156
cap142ActiveMods	1	captureBuffs142
cap142BaseStats	1	captureBuffs142
cap142EffectPct	1	captureBuffs142
cap142EffectiveStats	1	captureBuffs142
cap142NormStat	1	captureBuffs142
cap142RenderEffects	1	captureBuffs142
cap142RenderStats	1	captureBuffs142
cap142StatLabel	1	captureBuffs142
cap142StatusIcon	1	captureBuffs142
cap143AbilitySummary	1	captureBuffFx143
cap143FxForAbility	1	captureBuffFx143
cap144AbilitySummary	1	captureAbilityTruth144
cap144ResolvedEffects	1	captureAbilityTruth144
capManagedUid133	1	captureFix133
capReplaceSlot133	1	captureFix133
captureAllyTarget135	3	captureFix136
captureApplyXpToInstance	1	captureFix137
captureBattleApplyAbility	8	captureAbilityTruth144
captureBattleBegin	1	capturePlaytestFix128
captureBattleCanUseItem	1	captureFix129
captureBattleCurrentActor	1	captureFix132
captureBattleDamageValue	1	captureBuffs142
captureBattleFlee	1	capturePlaytestFix128
captureBattleFx	1	capturePlaytestFix128
captureBattleMarkItemUsed	1	captureFix129
captureBattlePersistPlayerHp	1	capturePlaytestFix128
captureBattleRunAiUntilHuman	4	captureBuffFx143
captureBattleSelectDefaultTarget	5	captureFix138
captureBattleSelectedTargetId	2	captureFix129
captureBattleUseAbility	3	captureBuffFx143
captureChooseFriendlyTarget136	1	captureFix136
captureChooseReplaceSlot133	1	captureFix133
captureCleanDungeonUi138	1	captureFix138
captureCreatureCardHtml	1	captureFix133
captureElementLabel138	1	captureFix138
captureEnterWorld139	1	captureFix139
captureEquipAbility133	1	captureFix133
captureExecuteAbility136	2	captureBuffFx143
captureFixPregame131	1	captureFix131
captureForceStarterKit	1	captureFix129
captureGenerateBattleRewards	2	captureItems141
captureGrantBattleRewards	1	captureItems141
captureHealTeamForNewDay	1	capturePlaytestFix128
captureHealingRule	1	capturePlaytestFix128
captureInfo130	1	captureFix130
captureItemById141	1	captureItems141
captureItemCatalog141	1	captureItems141
captureItemSellPrice	1	captureItems141
captureLoadCreatureProgressRulesUi	1	capturePlaytestFix128
captureManageAbilities132	1	captureFix132
captureMjEnemyUseAbility137	2	coreCombatPoolFix156
captureMjGiveGold	1	capturePlaytestFix128
captureMjGiveItem	1	capturePlaytestFix128
captureMjPlayerTarget156	1	coreCombatPoolFix156
captureMjRules137	1	captureFix137
captureMjRulesKey137	1	captureFix137
captureNextPlayerTurn	1	capturePlaytestFix128
captureNormalizeAffinities138	1	captureFix138
captureOpenAbilityManager133	2	captureFix134
captureOpenBattleCreatureSheet	1	captureFix129
captureOpenCreatureCard132	1	captureFix132
captureOpenCreatureDetail	4	captureAbilityTruth144
captureOpenCreatureOverlay134	3	captureAbilityTruth144
captureOpenFriendlyTarget136	1	captureFix136
captureOpenMjGlobal137	2	captureFix140
captureOpenPregameMj130	3	captureFix140
captureOpenTrainerBattle	2	captureFix134
captureOwnedInstance133	1	captureFix133
capturePayHealing	1	captureFix129
capturePendingAbility136	3	captureFix136
capturePlayerAbilityText132	5	captureAbilityTruth144
captureRefreshAll134	1	captureFix134
captureRenderBattleLive	15	coreCombatPoolFix156
captureRenderTimeline133	2	captureFix134
captureResolveAbilityTarget137	1	captureFix137
captureRollLoot141	1	captureItems141
captureSaveCreatureProgressRulesFromUi	2	captureFix140
captureSaveMjRules137	2	captureFix140
captureSavePregameMj130	2	captureFix140
captureSavePregameMj134	2	captureFix140
captureSelectAlly132	1	captureFix132
captureSelectAlly136	1	captureFix136
captureSelectAllyTarget135	1	captureFix135
captureSelectMjPlayerTarget156	1	coreCombatPoolFix156
captureSelectTarget130	1	captureFix130
captureSellItem	1	captureItems141
captureShopItems	1	captureItems141
captureShowEnemyInfo	1	capturePlaytestFix128
captureSpendCreatureStat	1	captureFix134
captureStartBattleAutomatic	2	captureFix129
captureStarterEligibleCreatures	1	captureFix129
captureSyncMjRules140	1	captureFix140
captureTarget130	7	captureFix138
captureTeamEntityRoster	1	capturePlaytestFix128
captureToggleAbility132	1	captureFix132
captureTrainerDifficulty134	2	captureFix137
captureTrainerDifficultyKey134	1	captureFix134
captureWildEnemyRoster	1	captureFix137
cleanupPregame130	1	captureFix131
closeAttackRoll	4	dungeonCore303TimelineRootFix
closeDungeonCombat	9	dungeonCore200Rebuild
closeEffectPopup	2	dungeonCore303TimelineRootFix
closeGameCustomization	1	gensDungeonCore01Js
closeSpecialRoll	4	dungeonCore303TimelineRootFix
combatItems61	1	dungeonCore061CombatItems
current	7	dungeonCore200Rebuild
dc029AiWatchdog	1	dungeonCore029AiTurnFix
dc030EngageCombat	5	dungeonCore098IsolatedMovement
dc032HardHome	1	dungeonCore032RpgLifeAndReadableAi
dc032LeaveAfterGameOver	2	dungeonCore304DefeatExit
dc033CheckGameOver	1	dungeonCore033RecoveryAndGameOverFix
dc033CloseGameOverToCore	1	dungeonCore033RecoveryAndGameOverFix
dc033ForceHome	3	dungeonCore304DefeatExit
dc033GameOver	1	dungeonCore033RecoveryAndGameOverFix
dc034RootHome	1	dungeonCore034NavigationAndCombatHostFix
dc036AllowCombatClose	4	dungeonCore103StabilityPass
dc036ContinueAi	2	dungeonCore043MjCombatFlow
dc037AllowAdvance	2	dungeonCore037PlayerTurnGate
dc040VictoryOpen	6	dungeonCore103StabilityPass
dc045ApplyHeroCombatMode	3	dungeonCore050CombatAndEntrance
dc045HeroCombatEnabled	2	dungeonCore050CombatAndEntrance
dc046AddEffect	1	dungeonCore046ManualMjAssist
dc046EnemyHp	1	dungeonCore046ManualMjAssist
dc046OpenEnemies	1	dungeonCore046ManualMjAssist
dc046RemoveEffect	1	dungeonCore046ManualMjAssist
dc046TickEffects	1	dungeonCore046ManualMjAssist
dc047AnswerPuzzle	2	dungeonCore048ExplorationTests
dc047Puzzle	2	dungeonCore051ExplorationPolish
dc047ResolveStealth	3	dungeonCore200Rebuild
dc047StealthPrompt	2	dungeonCore048ExplorationTests
dc048OpenTrap	1	dungeonCore048ExplorationTests
